E, mean, sigma, nearest_nside, nearest_nside_value
1.000000, 10.882307, 12.122026, 3, 11.043666
1.500000, 7.375473, 8.258963, 5, 6.619628
2.000000, 5.501457, 6.203661, 6, 5.515418
2.500000, 4.410168, 5.017146, 8, 4.135865
3.000000, 3.657959, 4.289444, 9, 3.676156
3.500000, 3.122973, 3.756846, 11, 3.007594
4.000000, 2.721825, 3.272644, 12, 2.756910
4.500000, 2.404217, 2.918218, 14, 2.363006
5.000000, 2.158303, 2.728242, 15, 2.205452
5.500000, 1.957275, 2.462214, 17, 1.945960
6.000000, 1.792406, 2.439630, 18, 1.837842
6.500000, 1.651095, 2.143208, 20, 1.654044
7.000000, 1.526265, 2.150056, 22, 1.503667
7.500000, 1.421592, 1.968207, 23, 1.438287
8.000000, 1.331270, 2.025166, 25, 1.323219
8.500000, 1.262117, 2.047763, 26, 1.272324
9.000000, 1.183764, 1.872657, 28, 1.181440
9.500000, 1.121230, 1.786962, 30, 1.102675
10.000000, 1.063234, 1.845522, 31, 1.067104
