Indices,L,B,dL,dB,E
2100, -0.146259, -0.538434, 0.061038, -0.632426, 7.854000
2100, -0.054978, -0.594634, 0.060885, -0.636110, 15.782000
2100, -0.191812, -0.518886, 0.015285, -0.625216, 7.268000
2100, -0.182911, -0.511905, 0.038532, -0.621114, 6.973000
2100, -0.171740, -0.485202, 0.051984, -0.585587, 7.185000
2100, -0.191812, -0.518886, 0.028379, -0.632360, 6.854000
2100, -0.049567, -0.584860, 0.022418, -0.609548, 25.420000
2100, 0.021293, -0.589921, 0.065140, -0.601066, 46.846000
2100, -0.076271, -0.614181, 0.053007, -0.666347, 13.524000
2100, -0.154985, -0.536863, 0.042223, -0.628684, 8.106000
2100, -0.016057, -0.606327, 0.054504, -0.628266, 27.571000
2100, -0.158999, -0.562345, 0.053584, -0.667607, 7.381000
2100, -0.065101, -0.556935, 0.065208, -0.601551, 14.089000
2100, -0.182387, -0.478744, 0.075504, -0.598857, 6.169000
2100, -0.182387, -0.478744, 0.069156, -0.595671, 6.317000
2100, -0.150796, -0.521679, 0.063594, -0.617465, 7.615000
2100, -0.065101, -0.556935, 0.039935, -0.592826, 17.357000
2150, -0.989951, -0.540878, -1.026953, -0.601630, 5.653000
2150, -0.949459, -0.575261, -0.984516, -0.647455, 5.829000
2150, -0.990649, -0.613134, -1.005228, -0.637752, 15.673000
2150, -0.927817, -0.553618, -0.952749, -0.621435, 6.279000
2150, -0.980701, -0.571421, -0.994589, -0.598337, 13.375000
2150, -0.948412, -0.577006, -0.978794, -0.641898, 6.474000
2150, -0.941780, -0.568803, -0.970923, -0.635549, 6.321000
2150, -0.985413, -0.537561, -1.023552, -0.601962, 5.398000
2150, -0.997107, -0.586780, -1.005937, -0.602120, 22.809000
2150, -0.948412, -0.577006, -0.990573, -0.660283, 5.135000
2150, -0.985413, -0.564090, -1.002165, -0.595159, 11.297000
2150, -1.021716, -0.586256, -1.038755, -0.610162, 13.765000
2150, -1.021716, -0.586256, -1.037785, -0.608904, 14.499000
2150, -0.995187, -0.582416, -1.023691, -0.627460, 8.091000
2150, -0.938464, -0.579449, -0.961934, -0.635968, 7.588000
2150, -0.982620, -0.592190, -0.994345, -0.614189, 17.007000
2150, -0.985413, -0.564090, -1.006519, -0.602117, 9.345000
2150, -0.997107, -0.586780, -1.015538, -0.616982, 11.878000
2150, -0.954172, -0.556236, -0.978546, -0.610659, 7.198000
2150, -0.947190, -0.539481, -0.981849, -0.616822, 5.151000
2150, -0.941431, -0.553269, -0.973650, -0.627616, 5.568000
2150, -0.979130, -0.580147, -0.984953, -0.592158, 29.937000
2150, -0.981050, -0.580147, -1.007129, -0.626044, 8.240000
2150, -0.997107, -0.586780, -1.018677, -0.621516, 10.396000
2200, -2.076069, -0.724137, -2.093810, -0.704664, 30.117000
2200, -2.076069, -0.724137, -2.094114, -0.704312, 29.594000
2200, -2.095791, -0.707382, -2.111362, -0.688612, 32.664000
2200, -2.063154, -0.709825, -2.102337, -0.662636, 12.786000
2200, -2.015157, -0.794823, -2.095382, -0.725862, 7.510000
2200, -2.074149, -0.748746, -2.117540, -0.702331, 12.540000
2200, -2.026327, -0.738798, -2.094891, -0.664262, 7.663000
2200, -2.014284, -0.786620, -2.109963, -0.697259, 6.018000
2200, -1.974142, -0.801804, -2.092722, -0.701638, 5.039000
2200, -2.108707, -0.698481, -2.131366, -0.668968, 21.476000
2200, -1.998402, -0.765676, -2.092147, -0.673573, 5.890000
2200, -2.080782, -0.665145, -2.099954, -0.638601, 24.050000
2200, -2.051111, -0.717505, -2.076673, -0.689452, 20.622000
2200, -2.026327, -0.738798, -2.112534, -0.639829, 5.902000
2200, -1.992642, -0.734260, -2.085371, -0.631392, 5.501000
2200, -1.986708, -0.756949, -2.070744, -0.675851, 6.576000
2200, -2.026327, -0.738798, -2.086512, -0.674996, 8.857000
2200, -2.074149, -0.748746, -2.134119, -0.681331, 8.807000
